step,toolgroup,unit,pt_min,pt_offset_min,cascade_interval_min,batch_min_wafers,batch_max_wafers,sample_prob
74,WE_FE_84,Wafer,1.128000,0.060000,0.846000,,,1.0000
75,Litho_FE_111,Wafer,2.772000,0.140000,,,,1.0000
76,LithoMet_FE_19,Lot,28.422000,1.420000,,,,1.0000
77,Litho_REG_FE_64,Lot,23.172000,1.160000,,,,0.4100
78,Implant_132,Wafer,1.320000,0.070000,0.990000,,,1.0000
79,DE_FE_86,Lot,137.484000,6.870000,,,,1.0000
80,WE_FE_84,Wafer,0.912000,0.050000,0.684000,,,1.0000
81,Litho_FE_111,Wafer,1.692000,0.080000,,,,1.0000
82,LithoMet_FE_19,Lot,27.294000,1.360000,,,,1.0000
83,Litho_REG_FE_64,Lot,26.220000,1.310000,,,,1.0000
84,Implant_132,Wafer,1.332000,0.070000,0.999000,,,1.0000
85,WE_FE_108,Wafer,1.176000,0.060000,0.882000,,,1.0000
86,DE_FE_86,Lot,82.242000,4.110000,,,,1.0000
87,WE_FE_108,Wafer,0.708000,0.040000,0.531000,,,1.0000
88,WE_FE_108,Wafer,0.870000,0.040000,0.652500,,,1.0000
89,Delay_32,Lot,240.000000,12.000000,,,,1.0000
90,Implant_88,Wafer,0.864000,0.040000,0.648000,,,1.0000
91,WE_FE_108,Wafer,0.906000,0.050000,0.679500,,,1.0000
92,TF_FE_131,Lot,82.584000,4.130000,70.196400,,,1.0000
93,DefMet_FE_34,Lot,8.142000,0.410000,,,,0.5800
94,Delay_32,Lot,180.000000,9.000000,,,,1.0000
95,WE_FE_108,Wafer,0.624000,0.030000,0.468000,,,1.0000
96,Diffusion_FE_120,Batch,399.516000,19.980000,,75,100,1.0000
97,Diffusion_FE_127,Batch,317.748000,15.890000,,100,125,1.0000
98,Planar_FE_77,Lot,43.116000,2.160000,30.181200,,,1.0000
99,WE_FE_108,Wafer,1.050000,0.050000,0.787500,,,1.0000
100,Delay_32,Lot,120.000000,6.000000,,,,1.0000
101,Dielectric_FE_30,Lot,33.426000,1.670000,30.083400,,,1.0000
102,DefMet_FE_34,Lot,13.698000,0.680000,,,,0.5900
103,WE_FE_8,Wafer,0.792000,0.040000,0.594000,,,1.0000
104,WE_FE_108,Wafer,0.660000,0.030000,0.495000,,,1.0000
105,Implant_91,Wafer,1.242000,0.060000,0.931500,,,1.0000
106,WE_FE_83,Wafer,1.080000,0.050000,0.810000,,,1.0000
107,WE_FE_84,Wafer,0.978000,0.050000,0.733500,,,1.0000
108,LithoTrack_FE_115,Wafer,2.670000,0.130000,,,,1.0000
109,Litho_FE_92,Wafer,3.066000,0.150000,,,,1.0000
110,TF_Met_FE_61,Lot,9.924000,0.500000,,,,0.3100
111,LithoMet_FE_19,Lot,23.598000,1.180000,,,,0.4200
112,Litho_REG_FE_64,Lot,25.290000,1.260000,,,,1.0000
113,Implant_128,Wafer,1.320000,0.070000,0.990000,,,1.0000
114,DE_FE_71,Lot,99.978000,5.000000,,,,1.0000
115,DE_FE_86,Lot,150.150000,7.510000,,,,1.0000
116,DefMet_FE_43,Lot,27.834000,1.390000,,,,0.5800
117,WE_FE_108,Wafer,0.936000,0.050000,0.702000,,,1.0000
118,WE_FE_83,Wafer,0.708000,0.040000,0.531000,,,1.0000
119,WE_FE_84,Wafer,1.146000,0.060000,0.859500,,,1.0000
120,DefMet_FE_43,Lot,9.144000,0.460000,,,,0.5200
121,LithoTrack_FE_115,Wafer,2.898000,0.140000,,,,1.0000
122,Litho_FE_92,Wafer,2.550000,0.130000,,,,1.0000
123,LithoMet_FE_19,Lot,27.864000,1.390000,,,,1.0000
124,Litho_REG_FE_64,Lot,28.926000,1.450000,,,,1.0000
125,DE_FE_71,Lot,170.784000,8.540000,,,,1.0000
126,WE_FE_108,Wafer,1.062000,0.050000,0.796500,,,1.0000
127,WE_FE_83,Wafer,0.900000,0.050000,0.675000,,,1.0000
128,WE_FE_84,Wafer,0.960000,0.050000,0.720000,,,1.0000
129,DefMet_FE_43,Lot,8.016000,0.400000,,,,0.5000
130,LithoTrack_FE_115,Wafer,1.638000,0.080000,,,,1.0000
131,Litho_FE_92,Wafer,1.998000,0.100000,,,,1.0000
132,LithoMet_FE_19,Lot,18.174000,0.910000,,,,1.0000
133,Litho_REG_FE_64,Lot,22.860000,1.140000,,,,0.5000
134,DE_FE_59,Lot,156.384000,7.820000,,,,1.0000
135,WE_FE_108,Wafer,1.008000,0.050000,0.756000,,,1.0000
136,TF_Met_FE_61,Lot,7.926000,0.400000,,,,0.3600
137,LithoMet_FE_19,Lot,25.158000,1.260000,,,,1.0000
138,DefMet_FE_10,Lot,29.238000,1.460000,,,,0.5700
139,Delay_32,Lot,120.000000,6.000000,,,,1.0000
140,DE_FE_86,Lot,134.610000,6.730000,,,,1.0000
141,WE_FE_84,Wafer,0.906000,0.050000,0.679500,,,1.0000
142,Litho_FE_111,Wafer,2.010000,0.100000,,,,1.0000
143,LithoMet_FE_19,Lot,21.846000,1.090000,,,,0.3100
144,Litho_REG_FE_64,Lot,22.506000,1.130000,,,,0.4800
145,Implant_132,Wafer,1.440000,0.070000,1.080000,,,1.0000
146,DE_FE_86,Lot,126.198000,6.310000,,,,1.0000
147,WE_FE_108,Wafer,1.158000,0.060000,0.868500,,,1.0000
148,WE_FE_84,Wafer,1.158000,0.060000,0.868500,,,1.0000
149,Litho_FE_111,Wafer,2.484000,0.120000,,,,1.0000
150,LithoMet_FE_19,Lot,15.054000,0.750000,,,,1.0000
151,Litho_REG_FE_64,Lot,28.002000,1.400000,,,,1.0000
152,Implant_132,Wafer,1.326000,0.070000,0.994500,,,1.0000
153,DE_FE_86,Lot,108.870000,5.440000,,,,1.0000
154,WE_FE_108,Wafer,1.098000,0.050000,0.823500,,,1.0000
155,DefMet_FE_43,Lot,26.088000,1.300000,,,,0.5100
156,Diffusion_FE_122,Batch,484.014000,24.200000,,100,125,1.0000
157,DE_FE_86,Lot,123.510000,6.180000,,,,1.0000
158,Implant_91,Wafer,0.864000,0.040000,0.648000,,,1.0000
159,WE_FE_84,Wafer,0.822000,0.040000,0.616500,,,1.0000
160,LithoTrack_FE_95,Wafer,2.736000,0.140000,,,,1.0000
161,DE_FE_70,Lot,71.640000,3.580000,,,,1.0000
162,WE_FE_108,Wafer,0.888000,0.040000,0.666000,,,1.0000
163,WE_FE_84,Wafer,0.696000,0.030000,0.522000,,,1.0000
164,LithoTrack_FE_115,Wafer,3.000000,0.150000,,,,1.0000
165,Litho_FE_111,Wafer,3.108000,0.160000,,,,1.0000
166,LithoMet_FE_19,Lot,23.226000,1.160000,,,,1.0000
167,Litho_REG_FE_64,Lot,25.644000,1.280000,,,,1.0000
168,DE_FE_70,Lot,148.344000,7.420000,,,,1.0000
169,WE_FE_108,Wafer,0.996000,0.050000,0.747000,,,1.0000
170,WE_FE_108,Wafer,1.116000,0.060000,0.837000,,,1.0000
171,WE_FE_41,Wafer,0.612000,0.030000,0.459000,,,1.0000
172,LithoMet_FE_19,Lot,23.208000,1.160000,,,,1.0000
173,Delay_32,Lot,120.000000,6.000000,,,,1.0000
174,TF_Met_FE_61,Lot,9.390000,0.470000,,,,0.3700
175,TF_FE_5,Lot,64.602000,3.230000,54.911700,,,1.0000
176,Delay_32,Lot,240.000000,12.000000,,,,1.0000
177,Diffusion_FE_94,Batch,473.022000,23.650000,,125,150,1.0000
178,Dielectric_FE_130,Lot,53.250000,2.660000,47.925000,,,1.0000
179,WE_FE_41,Wafer,0.966000,0.050000,0.724500,,,1.0000
180,Planar_FE_76,Lot,55.842000,2.790000,39.089400,,,1.0000
181,TF_FE_104,Lot,69.630000,3.480000,59.185500,,,1.0000
182,WE_FE_108,Wafer,0.642000,0.030000,0.481500,,,1.0000
183,WE_FE_84,Wafer,0.870000,0.040000,0.652500,,,1.0000
184,LithoTrack_FE_115,Wafer,1.872000,0.090000,,,,1.0000
185,LithoTrack_FE_115,Wafer,3.210000,0.160000,,,,1.0000
186,Litho_FE_92,Wafer,2.592000,0.130000,,,,1.0000
187,Litho_REG_FE_64,Lot,26.430000,1.320000,,,,0.1000
188,Implant_128,Wafer,0.864000,0.040000,0.648000,,,1.0000
189,Diffusion_FE_44,Batch,448.002000,22.400000,,75,100,1.0000
190,Litho_FE_92,Wafer,3.306000,0.170000,,,,1.0000
191,LithoMet_FE_19,Lot,17.442000,0.870000,,,,0.2100
192,Litho_REG_FE_64,Lot,27.666000,1.380000,,,,1.0000
193,DE_FE_72,Lot,69.690000,3.480000,,,,1.0000
194,DE_FE_86,Lot,170.394000,8.520000,,,,1.0000
195,WE_FE_41,Wafer,0.852000,0.040000,0.639000,,,1.0000
196,WE_FE_83,Wafer,0.894000,0.040000,0.670500,,,1.0000
197,WE_FE_85,Wafer,0.768000,0.040000,0.576000,,,1.0000
198,LithoTrack_FE_115,Wafer,1.656000,0.080000,,,,1.0000
199,LithoTrack_FE_115,Wafer,3.252000,0.160000,,,,1.0000
200,Litho_FE_92,Wafer,2.346000,0.120000,,,,1.0000
201,LithoMet_FE_19,Lot,23.838000,1.190000,,,,0.3600
202,Litho_REG_FE_64,Lot,19.452000,0.970000,,,,1.0000
203,DE_FE_72,Lot,62.952000,3.150000,,,,1.0000
204,DE_FE_86,Lot,173.484000,8.670000,,,,1.0000
205,DE_FE_86,Lot,99.750000,4.990000,,,,1.0000
206,WE_FE_47,Wafer,1.026000,0.050000,0.769500,,,1.0000
207,WE_FE_83,Wafer,0.756000,0.040000,0.567000,,,1.0000
208,WE_FE_85,Wafer,1.164000,0.060000,0.873000,,,1.0000
209,LithoTrack_FE_95,Wafer,1.800000,0.090000,,,,1.0000
210,LithoTrack_FE_115,Wafer,1.722000,0.090000,,,,1.0000
211,Litho_FE_92,Wafer,3.330000,0.170000,,,,1.0000
212,LithoTrack_FE_115,Wafer,1.818000,0.090000,,,,1.0000
213,Implant_128,Wafer,0.828000,0.040000,0.621000,,,1.0000
214,LithoTrack_FE_95,Wafer,3.246000,0.160000,,,,1.0000
215,Delay_32,Lot,120.000000,6.000000,,,,1.0000
216,DE_BE_12,Lot,170.046000,8.500000,,,,1.0000
217,WE_BE_16,Wafer,0.708000,0.040000,0.531000,,,1.0000
218,WE_BE_17,Wafer,1.020000,0.050000,0.765000,,,1.0000
219,Diffusion_BE_123,Batch,460.578000,23.030000,,75,100,1.0000
220,LithoMet_BE_18,Lot,29.580000,1.480000,,,,1.0000
221,TF_BE_24,Lot,86.934000,4.350000,73.893900,,,1.0000
222,DefMet_BE_42,Lot,20.520000,1.030000,,,,0.1000
223,TF_BE_40,Lot,71.286000,3.560000,60.593100,,,1.0000
224,WE_BE_82,Wafer,0.606000,0.030000,0.454500,,,1.0000
225,Planar_BE_75,Lot,65.184000,3.260000,45.628800,,,1.0000
226,DefMet_BE_42,Lot,19.506000,0.980000,,,,0.1000
227,Dielectric_BE_20,Lot,50.862000,2.540000,45.775800,,,1.0000
228,DefMet_BE_33,Lot,15.348000,0.770000,,,,0.1000
229,TF_BE_26,Lot,76.152000,3.810000,64.729200,,,1.0000
230,WE_BE_81,Wafer,0.882000,0.040000,0.661500,,,1.0000
231,WE_BE_82,Wafer,0.630000,0.030000,0.472500,,,1.0000
232,LithoTrack_FE_95,Wafer,1.458000,0.070000,,,,1.0000
233,LithoTrack_BE_117,Wafer,2.862000,0.140000,,,,1.0000
234,WE_BE_82,Wafer,1.170000,0.060000,0.877500,,,1.0000
235,LithoTrack_FE_95,Wafer,2.496000,0.120000,,,,1.0000
236,Litho_BE_99,Wafer,2.352000,0.120000,,,,1.0000
237,Delay_32,Lot,240.000000,12.000000,,,,1.0000
238,DE_BE_67,Lot,86.778000,4.340000,,,,1.0000
239,WE_BE_16,Wafer,1.128000,0.060000,0.846000,,,1.0000
240,WE_BE_14,Wafer,0.906000,0.050000,0.679500,,,1.0000
241,DefMet_BE_42,Lot,23.106000,1.160000,,,,0.1000
242,DE_BE_11,Lot,114.882000,5.740000,,,,1.0000
243,WE_BE_16,Wafer,1.110000,0.060000,0.832500,,,1.0000
244,LithoMet_BE_18,Lot,26.124000,1.310000,,,,0.2300
245,TF_BE_23,Lot,86.994000,4.350000,73.944900,,,1.0000
246,TF_BE_40,Lot,62.820000,3.140000,53.397000,,,1.0000
247,Planar_BE_75,Lot,63.618000,3.180000,44.532600,,,1.0000
248,Dielectric_BE_27,Lot,42.708000,2.140000,38.437200,,,1.0000
249,Dielectric_BE_60,Lot,54.138000,2.710000,48.724200,,,1.0000
250,DefMet_BE_33,Lot,26.160000,1.310000,,,,0.1000
251,TF_BE_26,Lot,62.226000,3.110000,52.892100,,,1.0000
252,WE_BE_82,Wafer,0.738000,0.040000,0.553500,,,1.0000
253,LithoTrack_FE_95,Wafer,3.078000,0.150000,,,,1.0000
254,Litho_BE_93,Wafer,1.800000,0.090000,,,,1.0000
255,LithoMet_BE_18,Lot,15.540000,0.780000,,,,1.0000
256,Litho_REG_BE_63,Lot,19.776000,0.990000,,,,0.3100
257,DE_BE_50,Lot,173.106000,8.660000,,,,1.0000
258,WE_BE_14,Wafer,1.074000,0.050000,0.805500,,,1.0000
259,WE_BE_82,Wafer,1.170000,0.060000,0.877500,,,1.0000
260,Litho_BE_110,Wafer,2.568000,0.130000,,,,1.0000
261,LithoMet_BE_18,Lot,28.890000,1.440000,,,,1.0000
262,Litho_REG_BE_63,Lot,15.888000,0.790000,,,,0.3000
263,DE_BE_66,Lot,98.862000,4.940000,,,,1.0000
264,WE_BE_9,Wafer,1.116000,0.060000,0.837000,,,1.0000
265,LithoTrack_FE_95,Wafer,3.282000,0.160000,,,,1.0000
266,Litho_BE_110,Wafer,1.962000,0.100000,,,,1.0000
267,WE_BE_9,Wafer,0.900000,0.050000,0.675000,,,1.0000
268,DE_BE_13,Lot,107.724000,5.390000,,,,1.0000
269,WE_BE_16,Wafer,0.780000,0.040000,0.585000,,,1.0000
270,LithoMet_BE_18,Lot,20.652000,1.030000,,,,1.0000
271,TF_BE_23,Lot,65.202000,3.260000,55.421700,,,1.0000
272,TF_BE_40,Lot,82.764000,4.140000,70.349400,,,1.0000
273,Planar_BE_75,Lot,64.146000,3.210000,44.902200,,,1.0000
274,Dielectric_BE_27,Lot,33.600000,1.680000,30.240000,,,1.0000
275,Dielectric_BE_21,Lot,42.900000,2.150000,,,,1.0000
276,DefMet_BE_33,Lot,13.248000,0.660000,,,,0.1000
277,WE_BE_82,Wafer,0.870000,0.040000,0.652500,,,1.0000
278,Litho_BE_110,Wafer,2.874000,0.140000,,,,1.0000
279,LithoMet_BE_18,Lot,25.470000,1.270000,,,,0.1900
280,Litho_REG_BE_63,Lot,28.836000,1.440000,,,,0.4400
281,DE_BE_66,Lot,116.034000,5.800000,,,,1.0000
282,WE_BE_9,Wafer,0.750000,0.040000,0.562500,,,1.0000
283,LithoTrack_FE_95,Wafer,1.980000,0.100000,,,,1.0000
284,Litho_BE_110,Wafer,2.760000,0.140000,,,,1.0000
285,LithoMet_BE_18,Lot,17.124000,0.860000,,,,1.0000
286,Litho_REG_BE_63,Lot,22.710000,1.140000,,,,1.0000
287,DE_BE_65,Lot,92.148000,4.610000,,,,1.0000
288,WE_BE_9,Wafer,1.056000,0.050000,0.792000,,,1.0000
289,DE_BE_13,Lot,88.212000,4.410000,,,,1.0000
290,WE_BE_16,Wafer,0.906000,0.050000,0.679500,,,1.0000
291,LithoMet_BE_18,Lot,24.558000,1.230000,,,,1.0000
292,TF_BE_23,Lot,60.558000,3.030000,51.474300,,,1.0000
293,DefMet_BE_42,Lot,23.352000,1.170000,,,,0.1000
294,TF_BE_40,Lot,68.910000,3.450000,58.573500,,,1.0000
295,Planar_BE_75,Lot,51.360000,2.570000,35.952000,,,1.0000
296,Dielectric_BE_27,Lot,48.114000,2.410000,43.302600,,,1.0000
297,Dielectric_BE_21,Lot,36.954000,1.850000,,,,1.0000
298,DefMet_BE_33,Lot,27.750000,1.390000,,,,0.1000
299,WE_BE_82,Wafer,0.726000,0.040000,0.544500,,,1.0000
300,LithoTrack_FE_95,Wafer,3.198000,0.160000,,,,1.0000
301,Litho_BE_110,Wafer,2.640000,0.130000,,,,1.0000
302,LithoMet_BE_18,Lot,22.980000,1.150000,,,,0.3500
303,Litho_REG_BE_63,Lot,28.800000,1.440000,,,,0.5000
304,DE_BE_65,Lot,81.864000,4.090000,,,,1.0000
305,WE_BE_9,Wafer,1.086000,0.050000,0.814500,,,1.0000
306,DE_BE_13,Lot,117.504000,5.880000,,,,1.0000
307,WE_BE_16,Wafer,1.062000,0.050000,0.796500,,,1.0000
308,LithoMet_BE_18,Lot,20.802000,1.040000,,,,0.3800
309,TF_BE_23,Lot,67.878000,3.390000,57.696300,,,1.0000
310,TF_BE_40,Lot,78.960000,3.950000,67.116000,,,1.0000
311,Planar_BE_75,Lot,53.154000,2.660000,37.207800,,,1.0000
312,Dielectric_BE_27,Lot,54.618000,2.730000,49.156200,,,1.0000
313,Dielectric_BE_21,Lot,35.874000,1.790000,,,,1.0000
314,DefMet_BE_33,Lot,11.838000,0.590000,,,,0.1000
315,WE_BE_82,Wafer,0.666000,0.030000,0.499500,,,1.0000
316,LithoTrack_FE_95,Wafer,2.970000,0.150000,,,,1.0000
317,Litho_BE_110,Wafer,1.680000,0.080000,,,,1.0000
318,LithoMet_BE_18,Lot,15.048000,0.750000,,,,1.0000
319,Litho_REG_BE_63,Lot,26.844000,1.340000,,,,1.0000
320,DE_BE_65,Lot,148.926000,7.450000,,,,1.0000
321,WE_BE_9,Wafer,1.038000,0.050000,0.778500,,,1.0000
322,DE_BE_13,Lot,78.666000,3.930000,,,,1.0000
323,WE_BE_16,Wafer,1.104000,0.060000,0.828000,,,1.0000
324,LithoMet_BE_18,Lot,23.142000,1.160000,,,,1.0000
325,TF_BE_23,Lot,76.368000,3.820000,64.912800,,,1.0000
326,TF_BE_40,Lot,86.484000,4.320000,73.511400,,,1.0000
327,Planar_BE_75,Lot,66.894000,3.340000,46.825800,,,1.0000
328,Dielectric_BE_27,Lot,48.138000,2.410000,43.324200,,,1.0000
329,Dielectric_BE_28,Lot,45.858000,2.290000,,,,1.0000
330,Diffusion_BE_123,Batch,434.694000,21.730000,,100,125,1.0000
331,TF_BE_26,Lot,60.552000,3.030000,51.469200,,,1.0000
332,WE_BE_82,Wafer,0.954000,0.050000,0.715500,,,1.0000
333,LithoTrack_FE_95,Wafer,2.748000,0.140000,,,,1.0000
334,Litho_BE_110,Wafer,3.096000,0.150000,,,,1.0000
335,LithoMet_BE_18,Lot,20.622000,1.030000,,,,0.2900
336,Litho_REG_BE_63,Lot,28.758000,1.440000,,,,0.2300
337,DE_BE_48,Lot,117.396000,5.870000,,,,1.0000
338,WE_BE_14,Wafer,0.774000,0.040000,0.580500,,,1.0000
339,WE_BE_16,Wafer,1.020000,0.050000,0.765000,,,1.0000
340,LithoMet_BE_18,Lot,20.214000,1.010000,,,,0.4200
341,TF_BE_2,Lot,63.762000,3.190000,54.197700,,,1.0000
342,TF_BE_26,Lot,63.534000,3.180000,54.003900,,,1.0000
343,WE_BE_82,Wafer,0.786000,0.040000,0.589500,,,1.0000
